CSV, Chiang Mai,,,,,,,
INFO:1,null,,,,,,,
INFO:2,null,,,,,,,
DTG, 2023-11-17 04:50:00,,,,,,,
LAT,18.8, N,,,,,,
LON,99, E,,,,,,
ELEV,316,,,,,,,
TEMPERATURE, C,,,,,,,
MOISTURE, TD,,,,,,,
WIND, kts,,,,,,,
GPM, AGL,,,,,,,
MISSING,-999,,,,,,,
SORT, YES,,,,,,,
RAOB/DATA,,,,,,,,
PRES, TEMP, TD, WIND, SPEED, GPM, VapDen, LiqWat, WSPEED
979.1,23.3,23.3,0,2,0,20.8,0,-999
973.4,23.3,22.2,354.2,2.9,50,18.8,0,-999
967.8,23.3,22.2,351.1,3.8,100,17.6,0,-999
962.3,23.4,21.8,349.2,4.7,150,16.8,0,-999
956.7,23.5,21.6,347.9,5.5,200,15.8,0,-999
951.3,23.7,20.9,346.9,6.4,250,14.8,0,-999
945.8,23.5,20.3,346.2,7.3,300,13.8,0,-999
940.4,23.6,19.7,355.7,6.9,350,12.5,0,0.7
935,23.5,19.4,4.2,7,400,11.6,0,0.4
929.6,23.3,19.2,17.6,6.7,450,10.8,0,0.2
924.2,23.4,18.8,30.8,5.5,500,10.1,0,0.2
918.9,23.1,18.9,48.1,5,550,9.7,0,0.1
913.6,22.9,19.1,61.3,5.8,600,9.3,0,0
908.4,22.8,19.5,73,6.4,650,9.1,0,0
903.2,22.7,19.8,80.4,7.3,700,9,0,0
898,22.4,19.4,84.9,8,750,8.8,0,0
892.8,22.2,19.1,85.8,8.3,800,8.6,0,0
887.6,21.8,18.6,86.7,8.6,850,8.4,0,0.1
882.5,21.4,18.1,87.5,8.9,900,8.3,0,0.1
877.4,21.3,18,88.3,9.2,950,8.3,0,0.2
872.3,21.1,17.8,89,9.5,1000,8.3,0,0.2
867.3,20.9,17.6,89.6,9.8,1050,8.3,0,0.3
862.2,20.7,17.4,90.3,10.1,1100,8.3,0,0.3
857.2,20.3,17.4,90.8,10.5,1150,8.3,0,0.4
852.2,20,17.4,91.4,10.8,1200,8.4,0,0.4
847.3,19.8,17.1,91.9,11.1,1250,8.3,0,0.5
842.4,19.6,16.8,91.2,11,1300,8.3,0,0.5
837.5,19.3,16.1,88.8,11,1350,8.2,0,0.4
832.6,19,15.4,84.2,11.3,1400,8.1,0,0.4
827.7,18.8,15.3,81.9,12,1450,8,0,0.2
822.9,18.5,15.1,81.2,12.6,1500,7.8,0,0.1
818.1,18.3,14.8,81.7,13.2,1550,8,0,0.1
813.3,18.1,14.5,83,13.4,1600,8.1,0,0.4
808.5,17.7,14.3,87.1,13,1650,8.1,0,0.8
803.8,17.4,14,93,12.2,1700,8,0,1.1
